Name,Location,Price,Area,Rooms,Interior
Flat Copernicuslaan,2561 VH Den Haag (Valkenboskwartier),Price on request,136 m²,6 rooms,Upholstered
House Westmadeweg 72,2553 EM Den Haag (Kraayenstein en Vroondaal),"€3,750 per month",172 m²,6 rooms,Upholstered
Flat Turfhaven,2511 DK Den Haag (Uilebomen),"€1,115 per month",52 m²,2 rooms,
Flat Junostraat,2516 BR Den Haag (Binckhorst),"€1,400 per month",45 m²,2 rooms,Furnished
Flat Hooftskade 6,2526 KA Den Haag (Schildersbuurt-Noord),"€2,150 per month",74 m²,3 rooms,Upholstered or furnished
Flat De Perponcherstraat,2518 ST Den Haag (Koningsplein en omgeving),"€2,050 per month",67 m²,2 rooms,Upholstered
House Guirlande 205,2496 WX Den Haag (Bosweide),"€4,750 per month",220 m²,6 rooms,Upholstered
Flat Regentesselaan,2562 CT Den Haag (Koningsplein en omgeving),"€2,495 per month",75 m²,3 rooms,
Flat Lange Houtstraat,2511 CV Den Haag (Voorhout),"€2,795 per month",130 m²,5 rooms,Upholstered
House Gevers Deynootweg,2586 HL Den Haag (Belgisch Park),"€3,200 per month",255 m²,5 rooms,Upholstered
Flat Escamplaan,2547 EW Den Haag (Leyenburg),"€1,712 per month",93 m²,3 rooms,Shell
Flat Larixstraat 25,2565 HD Den Haag (Bloemenbuurt-Oost),"€2,500 per month",95 m²,3 rooms,
Flat Van Boetzelaerlaan 96 b,2581 AM Den Haag (Geuzenkwartier),"€1,925 per month",71 m²,3 rooms,Upholstered
Flat 1e Lulofsdwarsstraat 16 B,2521 AZ Den Haag (Laakhaven-West),"€2,225 per month",105 m²,4 rooms,Upholstered
Flat Burgemeester De Monchyplein 132,2585 DG Den Haag (Archipelbuurt),"€3,995 per month",179 m²,4 rooms,Upholstered
Flat Paul Krugerlaan 235,2571 HH Den Haag (Transvaalkwartier-Midden),"€1,069 per month",55 m²,3 rooms,Furnished
Studio Fahrenheitstraat 224 A,2561 EH Den Haag (Valkenboskwartier),€836 per month,31 m²,1 room,Upholstered
Flat Prinsegracht 211,2512 EE Den Haag (Kortenbos),"€2,500 per month",111 m²,4 rooms,Furnished
Flat Prinsegracht 176 B,2512 GG Den Haag (Zuidwal),"€1,850 per month",62 m²,2 rooms,
House Roelofsstraat,2596 VN Den Haag (Van Hoytemastraat en omgeving),"€3,500 per month",200 m²,7 rooms,Upholstered
Flat Mauritskade 57,2514 HG Den Haag (Voorhout),"€3,450 per month",120 m²,4 rooms,Upholstered
Flat Haagsestraat,2587 TG Den Haag (Belgisch Park),"€2,800 per month",135 m²,4 rooms,Upholstered
Flat Noordeinde,2514 GJ Den Haag (Kortenbos),"€1,595 per month",98 m²,2 rooms,Shell
Flat Gedempte Gracht,2512 AM Den Haag (Zuidwal),"€2,595 per month",101 m²,3 rooms,Furnished
Flat Loosduinseweg 783 D,2571 AN Den Haag (Valkenboskwartier),€783 per month,29 m²,2 rooms,Upholstered
Flat Wingerdstraat 63,2565 VB Den Haag (Bloemenbuurt-Oost),"€1,950 per month",109 m²,3 rooms,Upholstered
Flat Anna van Buerenplein,2595 DE Den Haag (Rivierenbuurt-Noord),"€4,500 per month",114 m²,4 rooms,Furnished
Flat Westeinde,2512 HD Den Haag (Kortenbos),"€1,250 per month",30 m²,1 room,Upholstered or furnished
Flat Reinwardtstraat 88,2522 AE Den Haag (Laakkwartier-Oost),"€1,190 per month",52 m²,4 rooms,Upholstered
Flat Hoogstraat,2513 AP Den Haag (Voorhout),"€2,100 per month",109 m²,3 rooms,Upholstered
Flat Oude Haagweg,2552 EP Den Haag (Houtwijk),"€1,995 per month",107 m²,3 rooms,Shell
Flat Helmersstraat,2513 SC Den Haag (Zeeheldenkwartier),"€2,800 per month",140 m²,4 rooms,Furnished
House Zandzeggelaan 199,2554 HM Den Haag (Kijkduin),"€3,500 per month",139 m²,5 rooms,Upholstered
Flat Molenstraat 15 D,2513 BH Den Haag (Kortenbos),"€1,795 per month",56 m²,3 rooms,Furnished
Flat Turfhaven,2511 DK Den Haag (Uilebomen),"€1,240 per month",58 m²,2 rooms,Furnished
Flat Loosduinseweg 373 E 2,2571 AE Den Haag (Rond de Energiecentrale),"€2,000 per month",96 m²,4 rooms,
Flat Charlotte de Bourbonstraat,2595 VM Den Haag (Bezuidenhout-West),"€3,075 per month",85 m²,4 rooms,Furnished
Studio Badhuisstraat,2584 HD Den Haag (Visserijbuurt),"€1,840 per month",20 m²,2 rooms,Furnished
Flat Keizerstraat,2584 BJ Den Haag (Scheveningen Badplaats),"€2,750 per month",30 m²,3 rooms,Furnished
Flat Escamplaan,2547 EW Den Haag (Leyenburg),"€1,707 per month",73 m²,3 rooms,Shell
Flat Mesdagstraat 92,2596 XZ Den Haag (Nassaubuurt),"€2,600 per month",101 m²,4 rooms,Upholstered
Flat Kalvermarkt,2511 CB Den Haag (Uilebomen),"€3,875 per month",125 m²,4 rooms,Upholstered or furnished
Flat Jozef Israëlslaan,2596 AP Den Haag (Nassaubuurt),"€2,750 per month",132 m²,4 rooms,Shell
Flat Galvanistraat,2517 RD Den Haag (Sweelinckplein en omgeving),"€1,019 per month",53 m²,2 rooms,Upholstered
Flat Bosschestraat,2587 HG Den Haag (Belgisch Park),"€3,250 per month",152 m²,5 rooms,
Flat 2e Sweelinckstraat,2517 GZ Den Haag (Sweelinckplein en omgeving),"€2,694 per month",91 m²,4 rooms,Upholstered
Flat Laan Copes van Cattenburch 77 A,2585 EW Den Haag (Archipelbuurt),"€3,000 per month",113 m²,3 rooms,Upholstered
Flat Perenstraat,2564 SJ Den Haag (Vruchtenbuurt),"€1,630 per month",70 m²,3 rooms,Upholstered
Flat Laakweg,2521 SC Den Haag (Laakhaven-Oost),"€1,162 per month",50 m²,2 rooms,Shell
House Reijerskopstraat 36,2493 WK Den Haag (Rietbuurt),"€2,850 per month",131 m²,4 rooms,Upholstered
Flat Lange Houtstraat,2511 CV Den Haag (Voorhout),"€2,750 per month",137 m²,4 rooms,Upholstered
Flat Van de Spiegelstraat 19 J,2518 ES Den Haag (Zeeheldenkwartier),"€2,495 per month",67 m²,3 rooms,Upholstered
Flat Laan van Roos en Doorn 37 Q,2514 BC Den Haag (Willemspark),"€2,250 per month",93 m²,4 rooms,Upholstered
Room Gevers Deynootweg,2586 BK Den Haag (Scheveningen Badplaats),€795 per month,18 m²,1 room,Furnished
Flat Stevinstraat,2587 ER Den Haag (Belgisch Park),"€3,195 per month",132 m²,6 rooms,Furnished
Flat 1e Lulofsdwarsstraat 12 B,2521 AZ Den Haag (Laakhaven-West),"€1,865 per month",80 m²,3 rooms,
Flat Cypresstraat,2565 MA Den Haag (Bomenbuurt),"€2,650 per month",88 m²,4 rooms,Furnished
Flat Fahrenheitstraat 261,2561 DV Den Haag (Valkenboskwartier),"€2,150 per month",61 m²,3 rooms,
House Frits Diepenlaan 32,2497 DK Den Haag (Singels),"€2,850 per month",133 m²,6 rooms,Upholstered
Flat Prins Willem-Alexanderweg 193,2595 BT Den Haag (Bezuidenhout-West),"€2,800 per month",135 m²,3 rooms,Upholstered
Flat Eisenhowerlaan,2517 KP Den Haag (Statenkwartier),"€2,165 per month",96 m²,3 rooms,
Flat Maanplein,2516 CK Den Haag (Binckhorst),"€2,100 per month",95 m²,3 rooms,
Flat Obrechtstraat,2517 VT Den Haag (Sweelinckplein en omgeving),"€2,500 per month",85 m²,3 rooms,Upholstered
Flat Tasmanstraat 162,2518 VS Den Haag (Zeeheldenkwartier),"€4,250 per month",187 m²,5 rooms,Upholstered
Flat Rossinilaan 375,2551 MV Den Haag (Nieuw Waldeck),"€1,750 per month",65 m²,2 rooms,Upholstered
House Graafschap Hollandlaan 75,2553 MC Den Haag (Kraayenstein en Vroondaal),"€3,250 per month",165 m²,6 rooms,Upholstered
House Sportlaan,2566 KD Den Haag (Vogelwijk),"€2,845 per month",173 m²,4 rooms,Furnished
Flat De Constant Rebecquestraat,2518 RD Den Haag (Rond de Energiecentrale),"€2,400 per month",80 m²,3 rooms,Furnished
Flat Eliasstraat,2522 CB Den Haag (Noordpolderbuurt),"€2,250 per month",92 m²,4 rooms,Furnished
Flat Bragastraat,2523 HJ Den Haag (Laakkwartier-West),€615 per month,28 m²,2 rooms,Upholstered
Flat Burgemeester De Monchyplein 42,2585 DD Den Haag (Archipelbuurt),"€2,750 per month",87 m²,3 rooms,Furnished
House Zwanenlaan,2566 EM Den Haag (Vogelwijk),"€3,650 per month",169 m²,4 rooms,Upholstered
House Arend Vijfvinkelplein,2552 RX Den Haag (Houtwijk),"€3,200 per month",139 m²,6 rooms,Furnished
House Wim Sonneveldplein,2548 ZH Den Haag (Zonne Veld),"€2,750 per month",135 m²,6 rooms,Furnished
Flat Stalpertstraat,2597 RS Den Haag (Duinzigt),"€2,895 per month",95 m²,3 rooms,Furnished
Flat Boomsluiterskade 240,2511 VJ Den Haag (Rivierenbuurt-Noord),"€2,250 per month",115 m²,3 rooms,Furnished
Flat Copernicuslaan,2561 VH Den Haag (Valkenboskwartier),"€2,150 per month",102 m²,5 rooms,Upholstered
House Veenendaalkade,2547 BB Den Haag (Leyenburg),"€1,394 per month",90 m²,2 rooms,Upholstered
Flat Maziestraat,2514 GT Den Haag (Kortenbos),"€2,600 per month",101 m²,3 rooms,Upholstered or furnished
Flat Waldeck Pyrmontkade 111,2518 JR Den Haag (Zeeheldenkwartier),"€2,395 per month",95 m²,3 rooms,Furnished
Flat Vondelstraat,2513 EW Den Haag (Zeeheldenkwartier),"€2,495 per month",95 m²,3 rooms,
Flat Oude Haagweg,2552 EP Den Haag (Houtwijk),"€2,095 per month",93 m²,3 rooms,Shell
Flat Veenkade,2513 EJ Den Haag (Zeeheldenkwartier),€746 per month,35 m²,1 room,Upholstered
Flat Boekweitkamp,2592 XT Den Haag (Kampen),"€2,200 per month",85 m²,3 rooms,
Flat Boekweitkamp,2592 XT Den Haag (Kampen),"€2,250 per month",85 m²,3 rooms,
Flat Frankenslag 90,2582 HT Den Haag (Statenkwartier),"€3,695 per month",141 m²,5 rooms,Upholstered
Flat Statenplein 2 B,2582 EW Den Haag (Statenkwartier),"€3,950 per month",135 m²,3 rooms,
Flat Westeinde,2512 HE Den Haag (Kortenbos),"€2,000 per month",73 m²,3 rooms,Upholstered
Flat Witte de Withstraat,2518 CT Den Haag (Zeeheldenkwartier),"€2,495 per month",87 m²,3 rooms,Furnished
Flat Burgemeester De Monchyplein 218,2585 DJ Den Haag (Archipelbuurt),"€2,750 per month",89 m²,3 rooms,Upholstered
Flat Van Hoytemastraat,2596 EP Den Haag (Van Hoytemastraat en omgeving),"€3,250 per month",140 m²,6 rooms,
Flat Esperantostraat,2518 LJ Den Haag (Rond de Energiecentrale),"€1,335 per month",30 m²,1 room,Furnished
Flat Van Stolkweg 14 5,2585 JR Den Haag (Van Stolkpark en Scheveningse Bosjes),"€2,900 per month",131 m²,4 rooms,
Flat De Savornin Lohmanlaan 77,2566 AJ Den Haag (Bosjes van Pex),"€2,950 per month",125 m²,5 rooms,Furnished
Flat Plesmanweg,2597 JG Den Haag (Duttendel),"€2,700 per month",102 m²,3 rooms,Upholstered
House Westerbaenstraat,2513 GG Den Haag (Zeeheldenkwartier),"€1,745 per month",72 m²,3 rooms,Upholstered
Flat Breitnerlaan 340,2596 HH Den Haag (Uilennest),"€2,150 per month",102 m²,4 rooms,Upholstered
Flat Koningin Sophiestraat,2595 TM Den Haag (Bezuidenhout-Midden),"€3,415 per month",95 m²,3 rooms,Upholstered or furnished
Flat Fijnjekade 185,2521 DT Den Haag (Laakhaven-Oost),"€1,600 per month",76 m²,3 rooms,
Flat Westeinde,2512 HD Den Haag (Kortenbos),"€1,595 per month",42 m²,2 rooms,Furnished
Flat Noordwal 47,2513 EB Den Haag (Kortenbos),"€2,150 per month",101 m²,4 rooms,Upholstered
Room Reinwardtstraat,2522 AG Den Haag (Laakkwartier-Oost),€492 per month,6 m²,2 rooms,Furnished
Flat Van Stolkweg 14 A,2585 JR Den Haag (Van Stolkpark en Scheveningse Bosjes),"€2,250 per month",76 m²,3 rooms,Upholstered
Flat Paulinastraat,2595 GK Den Haag (Bezuidenhout-Midden),"€3,000 per month",120 m²,4 rooms,Furnished
Flat Nicolaas Tulpstraat,2563 XL Den Haag (Valkenboskwartier),"€1,500 per month",25 m²,1 room,Upholstered or furnished
House Balistraat 16,2585 XS Den Haag (Archipelbuurt),"€5,250 per month",272 m²,10 rooms,Upholstered
House Boswinde 185,2496 WK Den Haag (Bosweide),"€4,250 per month",177 m²,6 rooms,Upholstered
Flat Jozef Israëlsplein,2596 AS Den Haag (Nassaubuurt),"€1,550 per month",82 m²,2 rooms,Shell
Flat Lunterenstraat 289 A,2573 PL Den Haag (Oostbroek-Noord),"€2,060 per month",82 m²,4 rooms,Upholstered
Flat Dr. Lelykade 196 E,2583 CN Den Haag (Vissershaven),"€3,850 per month",157 m²,4 rooms,Upholstered
Flat Jozef Israëlsplein,2596 AT Den Haag (Nassaubuurt),"€2,450 per month",102 m²,3 rooms,Furnished
Flat Laan van Roos en Doorn,2514 BC Den Haag (Willemspark),"€2,295 per month",98 m²,3 rooms,Furnished
House Badhuisweg,2597 JS Den Haag (Duttendel),"€7,500 per month",348 m²,8 rooms,Furnished
Flat Juliana van Stolberglaan 196,2595 CM Den Haag (Bezuidenhout-Oost),"€1,995 per month",93 m²,4 rooms,Upholstered
Flat Frederikstraat 689,2514 LT Den Haag (Willemspark),"€2,200 per month",58 m²,2 rooms,Furnished
House Fluitschiplaan 255,2496 XX Den Haag (De Venen),"€3,000 per month",141 m²,5 rooms,Furnished
House Toussaintkade 7,2513 CJ Den Haag (Kortenbos),"€3,500 per month",128 m²,4 rooms,Furnished
Flat 1e Sweelinckstraat 20,2517 GC Den Haag (Sweelinckplein en omgeving),"€3,500 per month",137 m²,3 rooms,Furnished
Flat Groot Hertoginnelaan,2517 ED Den Haag (Stadhoudersplantsoen),"€1,895 per month",70 m²,3 rooms,Upholstered
Flat Vijzelstraat,2584 GN Den Haag (Visserijbuurt),"€1,755 per month",58 m²,3 rooms,Furnished
Flat Bezuidenhoutseweg,2594 AC Den Haag (Rivierenbuurt-Noord),"€2,700 per month",101 m²,3 rooms,Furnished
Flat Heulstraat 23,2514 ER Den Haag (Voorhout),"€4,000 per month",195 m²,7 rooms,Upholstered
Flat Anna van Buerenplein,2595 DD Den Haag (Rivierenbuurt-Noord),"€2,744 per month",101 m²,3 rooms,Upholstered
Flat Jan Willem Frisohof 52,2517 LA Den Haag (Zorgvliet),"€3,950 per month",166 m²,4 rooms,Upholstered
Flat Theresiastraat 12 C,2593 AN Den Haag (Bezuidenhout-West),"€2,200 per month",92 m²,3 rooms,Upholstered
Flat Walchersestraat,2583 NK Den Haag (Duindorp),"€2,650 per month",102 m²,4 rooms,Upholstered
Flat Van Stolkweg 14 10,2585 JR Den Haag (Van Stolkpark en Scheveningse Bosjes),"€2,650 per month",130 m²,3 rooms,
Flat Breedstraat,2513 TT Den Haag (Kortenbos),"€2,195 per month",95 m²,2 rooms,Furnished
Flat Schoolstraat,2511 AW Den Haag (Kortenbos),"€2,695 per month",110 m²,3 rooms,
Flat Van de Spiegelstraat,2518 ET Den Haag (Zeeheldenkwartier),"€2,500 per month",105 m²,3 rooms,Upholstered
Room Van der Woudendijk,2497 XT Den Haag (Waterbuurt),"€1,050 per month",16 m²,1 room,Furnished
House Laantje van Kempen 41,2548 LL Den Haag (Hoge Veld),"€3,750 per month",180 m²,7 rooms,Upholstered
Flat Noordeinde 62 D,2514 GK Den Haag (Voorhout),"€2,750 per month",79 m²,2 rooms,Furnished
Flat Waldeck Pyrmontkade,2518 JR Den Haag (Zeeheldenkwartier),"€2,000 per month",95 m²,3 rooms,
Flat Zodiakplein,2516 CH Den Haag (Binckhorst),"€2,295 per month",89 m²,3 rooms,Upholstered
House Hamerstraat,2512 CX Den Haag (Zuidwal),"€2,895 per month",110 m²,4 rooms,Furnished
Flat Eisenhowerlaan 158 C,2517 KP Den Haag (Statenkwartier),"€2,500 per month",38 m²,2 rooms,Upholstered or furnished
Flat Eisenhowerlaan 158 B,2517 KP Den Haag (Statenkwartier),"€2,450 per month",36 m²,1 room,Upholstered or furnished
Flat Eisenhowerlaan 158 A,2517 KP Den Haag (Statenkwartier),"€2,500 per month",47 m²,1 room,Upholstered or furnished
House De Rijkstraat,2497 DS Den Haag (Singels),"€3,195 per month",131 m²,4 rooms,Furnished
Flat 1e Lulofsdwarsstraat 16 K,2521 AZ Den Haag (Laakhaven-West),"€1,842 per month",79 m²,3 rooms,Upholstered
Flat Calandkade 94,2521 AA Den Haag (Laakhaven-West),"€1,772 per month",76 m²,3 rooms,Upholstered
Flat Rederserf,2586 KM Den Haag (Scheveningen Badplaats),"€2,395 per month",116 m²,4 rooms,Furnished
Flat Hofweg,2511 AA Den Haag (Voorhout),"€3,250 per month",180 m²,4 rooms,Upholstered
Flat Benoordenhoutseweg 37 A,2596 BB Den Haag (Nassaubuurt),"€1,900 per month",91 m²,3 rooms,Upholstered
House Groot Hertoginnelaan,2517 ES Den Haag (Bomenbuurt),"€4,700 per month",285 m²,9 rooms,Upholstered
Flat Frankenslag 73 B,2582 HE Den Haag (Statenkwartier),"€2,150 per month",120 m²,2 rooms,Furnished
Flat Denneweg 70 A,2514 CJ Den Haag (Voorhout),"€4,500 per month",195 m²,5 rooms,Upholstered
Flat Carnegielaan 11,2517 KH Den Haag (Zorgvliet),"€2,250 per month",150 m²,2 rooms,Furnished
Flat Jacques Urlusstraat 147,2551 HB Den Haag (Waldeck-Noord),"€2,500 per month",101 m²,4 rooms,Upholstered or furnished
Studio Soestdijksekade 450 kamer 2,2574 BX Den Haag (Rustenburg),€882 per month,20 m²,1 room,Furnished
House Jozef Israëlsplein 4,2596 AS Den Haag (Nassaubuurt),"€7,000 per month",264 m²,8 rooms,Upholstered
Flat Kasteellaan,2516 BJ Den Haag (Binckhorst),"€1,508 per month",75 m²,2 rooms,Upholstered
Flat Prinsegracht 57 B,2512 EX Den Haag (Kortenbos),"€2,250 per month",102 m²,2 rooms,Upholstered
Flat Nassauplein 20 A,2585 EC Den Haag (Archipelbuurt),"€3,750 per month",72 m²,2 rooms,Furnished
Flat Nassauplein 20,2585 EC Den Haag (Archipelbuurt),"€3,500 per month",65 m²,2 rooms,Furnished
Flat Westeinde,2512 GS Den Haag (Kortenbos),"€2,895 per month",95 m²,3 rooms,Furnished
House Athenesingel 30,2548 TH Den Haag (Lage Veld),"€2,700 per month",150 m²,5 rooms,Furnished
Flat Nieuwe Parklaan,2587 BN Den Haag (Westbroekpark),"€2,795 per month",95 m²,4 rooms,Furnished
Flat Prinsegracht,2512 EX Den Haag (Kortenbos),"€1,267 per month",33 m²,1 room,Upholstered
Flat Maanplein,2516 CK Den Haag (Binckhorst),"€1,880 per month",86 m²,3 rooms,
Flat Witte de Withstraat,2518 CT Den Haag (Zeeheldenkwartier),"€2,650 per month",75 m²,3 rooms,Furnished
